"","SU_ID","P_PANEL","NATIONAL_WEIGHT","REGION_WEIGHT","NATIONAL_WEIGHT_POP","REGION_WEIGHT_POP","P_GEO","SOC1","SOC2A","SOC2B","SOC3A","SOC3B","SOC4A","SOC4B","PHYS8","PHYS1A","PHYS1B","PHYS1C","PHYS1D","PHYS1E","PHYS1F","PHYS1G","PHYS1H","PHYS1I","PHYS1J","PHYS1K","PHYS1L","PHYS1M","PHYS1N","PHYS1O","PHYS1P","PHYS1Q","SOC5A","SOC5B","SOC5C","SOC5D","SOC5E","PHYS2_1","PHYS2_2","PHYS2_3","PHYS2_4","PHYS2_5","PHYS2_6","PHYS2_7","PHYS2_8","PHYS2_9","PHYS2_10","PHYS2_11","PHYS2_12","PHYS2_13","PHYS2_14","PHYS2_15","PHYS2_16","PHYS2_17","PHYS2_18","PHYS2_19","PHYS2_DK","PHYS2_SKP","PHYS2_REF","PHYS10A","PHYS10B","PHYS10C","PHYS10D","PHYS10E","ECON8A","ECON8B","ECON8C","ECON8D","ECON8E","ECON8F","ECON8G","ECON8H","ECON8I","ECON8J","ECON8K","ECON8L","ECON8M","ECON8N","ECON8O","ECON8P","ECON8Q","ECON8R","ECON8S","ECON7_1","ECON7_2","ECON7_3","ECON7_4","ECON7_5","ECON7_6","ECON7_7","ECON7_8","ECON7_DK","ECON7_SKP","ECON7_REF","ECON1","ECON4","ECON4A","ECON4B","ECON6A","ECON6B","ECON6C","ECON6D","ECON6E","ECON6F","ECON6G","ECON6H","ECON6I","ECON6J","ECON6K","ECON6L","ECON5A_A","ECON5A_B","PHYS7_1","PHYS7_2","PHYS7_3","PHYS7_4","PHYS7_DK","PHYS7_SKP","PHYS7_REF","PHYS11","PHYS9A","PHYS9B","PHYS9C","PHYS9D","PHYS9E","PHYS9F","PHYS9G","PHYS9H","PHYS3A","PHYS3B","PHYS3C","PHYS3D","PHYS3E","PHYS3F","PHYS3G","PHYS3H","PHYS3I","PHYS3J","PHYS3K","PHYS3L","PHYS3M","PHYS4","PHYS5","PHYS6","AGE4","AGE7","GENDER","RACETH","RACE_R2","EDUCATION","EDUC4","HHSIZE1","REGION4","REGION9","P_DENSE","MODE","LANGUAGE","MAIL50","RACE1_BANNER","INC_BANNER","AGE_BANNER","HH_BANNER","ECON2","ECON3","PHYS11_TEMP","HHINCOME","HH01S","HH25S","HH612S","HH1317S","HH18OVS"
"11","0020013534","ABS",NA,0.5699970323,NA,6154.7899548,"(4) Louisiana",3,2,2,1,1,2,2,1,NA,2,1,2,NA,2,2,2,2,2,2,NA,2,2,1,2,2,1,2,2,2,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,NA,2,2,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,4,6,1,1,1,3,3,2,3,7,3,2,1,2,1,3,3,2,"10","10","98.4",6,0,0,0,0,2
"12","0020014929","ABS",NA,0.6643415527,NA,1329.8226577,"(7) Montana",4,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,5,5,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,NA,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,5,1,NA,1,3,3,2,4,8,1,2,1,1,NA,2,2,2,"50","50",NA,6,0,0,0,0,2
"13","0020016311","ABS",NA,0.6665810012,NA,22483.01329,"(8) New York",3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,4,4,4,3,3,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,6,1,1,1,3,3,1,1,2,3,2,1,3,1,3,3,1,NA,"0","98.2",6,0,0,0,0,1
"14","0020018085","ABS",NA,0.3595219303,NA,3747.095747,"(2) Colorado",3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,3,1,4,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,1,1,1,7,4,2,4,8,3,2,1,3,1,4,2,2,"50","55",NA,9,0,0,0,0,2
"15","0020020613","ABS",NA,2.1001744656,NA,120591.19133,"(10) Texas",1,2,2,3,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,2,1,1,2,2,1,3,7,3,2,1,2,1,2,3,1,NA,"0",NA,6,0,0,0,0,1
"16","0020021039","ABS",NA,0.9219063154,NA,13399.273956,"(6) Missouri",NA,3,5,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,4,4,4,4,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,1,0,1,1,NA,NA,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,3,4,1,NA,2,3,3,2,2,4,2,2,1,3,NA,2,2,2,NA,"12","98",4,0,0,0,0,2
"17","0020021836","ABS",NA,1.6240508219,NA,16926.572248,"(2) Colorado",3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,2,4,2,2,2,2,2,2,2,2,2,2,1,NA,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,2,2,4,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,5,4,2,4,8,3,2,1,3,1,3,2,2,"45","45","98.6",7,0,0,0,0,2
"18","0020026511","ABS",NA,1.6024169672,NA,3700.2135307,"(13) Birmingham-Hoover, Alabama",3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,5,5,4,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,NA,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,5,3,6,3,2,1,2,1,3,2,4,"10","16","97.8",8,0,0,2,1,2
"19","0020031974","ABS",NA,0.3452588593,NA,2690.2772937,"(9) Oregon",2,3,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,2,2,3,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,7,1,NA,1,7,4,2,4,9,3,2,1,1,NA,3,3,2,NA,"5","97.8",7,0,0,0,0,2
"20","0020032313","ABS",NA,0.6837968412,NA,2849.6892332,"(16) Columbus, Ohio",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,NA,1,NA,NA,1,NA,NA,NA,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,4,7,1,1,1,6,4,2,2,3,3,2,1,1,1,3,3,2,NA,"0",NA,7,0,0,0,0,2
"21","0020032720","ABS",NA,0.5126170166,NA,17289.984525,"(8) New York",2,4,3,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,2,NA,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,4,1,1,1,5,4,3,1,2,3,2,1,3,1,4,2,5,NA,"30","98.7",8,0,0,0,0,3
"22","0020034996","ABS",NA,1.3156132611,NA,13711.900278,"(2) Colorado",1,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,5,5,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,4,4,4,4,1,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,5,1,2,2,5,4,4,4,8,3,2,1,3,2,2,2,3,"25","45","97.2",6,0,0,1,1,2
"23","0020041071","ABS",NA,1.5433684296,NA,24512.117585,"(14) Chicago-Naperville-Elgin, Illinois-Indiana-Wisconsin",2,3,3,1,2,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,1,1,4,4,NA,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,1,0,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,3,4,1,2,2,3,3,3,2,3,3,2,1,2,2,3,2,3,"45","45",NA,7,0,0,0,1,2
"24","0020041509","ABS",NA,3.1579301612,NA,16867.865725,"(12) Baltimore-Columbia-Towson, Maryland",1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,4,1,2,2,6,4,5,3,5,3,2,1,2,2,3,2,3,"37","60","98.6",7,0,0,0,1,4
"25","0020041516","ABS",NA,0.1811717022,NA,837.99874888,"(18) Pittsburgh, Pennsylvania",3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,NA,1,NA,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,NA,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,2,2,2,5,4,3,1,2,3,2,1,1,2,4,2,5,NA,"50","98.4",9,0,0,0,0,3
"26","0020042413","ABS",NA,0.9960912226,NA,7761.6012628,"(9) Oregon",2,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,NA,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,NA,1,5,4,2,4,9,2,2,1,1,NA,3,2,2,"36","40",NA,7,0,0,0,0,2
"27","0020045430","ABS",NA,0.9447290482,NA,1891.0786005,"(7) Montana",1,3,3,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,4,4,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,5,4,4,3,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,NA,1,1,3,3,3,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,4,6,2,NA,1,3,3,1,4,8,1,1,1,1,NA,1,3,1,NA,"20",NA,2,0,0,0,0,1
"28","0020046430","ABS",NA,0.2939925519,NA,1359.8447641,"(18) Pittsburgh, Pennsylvania",3,2,1,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,4,3,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,1,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,4,6,2,1,1,6,4,2,1,2,3,2,1,1,1,3,3,2,NA,"0",NA,7,0,0,0,0,2
"29","0020050409","ABS",NA,0.2431165312,NA,3322.6090407,"(17) Phoenix-Mesa-Chandler, Arizona",3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,4,4,3,4,4,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,NA,1,NA,NA,1,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,1,1,5,4,2,4,8,3,2,1,2,1,3,3,2,NA,"6","98.6",6,0,0,0,0,2
"30","0020050923","ABS",NA,0.5578890733,NA,2324.9748898,"(16) Columbus, Ohio",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,3,3,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,NA,2,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,1,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,6,1,1,1,6,4,1,2,3,3,1,1,1,1,3,3,1,"6","15",NA,8,0,0,0,0,1
