"","SU_ID","P_PANEL","NATIONAL_WEIGHT","REGION_WEIGHT","NATIONAL_WEIGHT_POP","REGION_WEIGHT_POP","NAT_WGT_COMB_POP","REG_WGT_COMB_POP","P_GEO","SOC1","SOC2A","SOC2B","SOC3A","SOC3B","SOC4A","SOC4B","PHYS8","PHYS1A","PHYS1B","PHYS1C","PHYS1D","PHYS1E","PHYS1F","PHYS1G","PHYS1H","PHYS1I","PHYS1J","PHYS1K","PHYS1L","PHYS1M","PHYS1N","PHYS1O","PHYS1P","PHYS1Q","SOC5A","SOC5B","SOC5C","SOC5D","SOC5E","PHYS2_1","PHYS2_2","PHYS2_3","PHYS2_4","PHYS2_5","PHYS2_6","PHYS2_7","PHYS2_8","PHYS2_9","PHYS2_10","PHYS2_11","PHYS2_12","PHYS2_13","PHYS2_14","PHYS2_15","PHYS2_16","PHYS2_17","PHYS2_18","PHYS2_19","PHYS2_DK","PHYS2_SKP","PHYS2_REF","PHYS10A","PHYS10B","PHYS10C","PHYS10D","PHYS10E","ECON8A","ECON8B","ECON8C","ECON8D","ECON8E","ECON8F","ECON8G","ECON8H","ECON8I","ECON8J","ECON8K","ECON8L","ECON8M","ECON8N","ECON8O","ECON8P","ECON8Q","ECON8R","ECON8S","ECON7_1","ECON7_2","ECON7_3","ECON7_4","ECON7_5","ECON7_6","ECON7_7","ECON7_8","ECON7_DK","ECON7_SKP","ECON7_REF","ECON1","ECON4","ECON3","ECON4A","ECON4B","ECON6A","ECON6B","ECON6C","ECON6D","ECON6E","ECON6F","ECON6G","ECON6H","ECON6I","ECON6J","ECON6K","ECON6L","ECON5A_A","ECON5A_B","PHYS7_1","PHYS7_2","PHYS7_3","PHYS7_4","PHYS7_DK","PHYS7_SKP","PHYS7_REF","PHYS11","PHYS11_TEMP","PHYS9A","PHYS9B","PHYS9C","PHYS9D","PHYS9E","PHYS9F","PHYS9G","PHYS9H","PHYS3A","PHYS3B","PHYS3C","PHYS3D","PHYS3E","PHYS3F","PHYS3G","PHYS3H","PHYS3I","PHYS3J","PHYS3K","PHYS3L","PHYS3M","PHYS4","PHYS5","PHYS6","AGE4","AGE7","GENDER","RACETH","RACE_R2","EDUCATION","EDUC4","HHSIZE1","REGION4","REGION9","P_DENSE","MODE","LANGUAGE","MAIL50","RACE1_BANNER","INC_BANNER","AGE_BANNER","HH_BANNER","ECON2","ECON31","HHINCOME","HH01S","HH25S","HH612S","HH1317S","HH18OVS","NeighborChange","MHscore"
"11","0020017476","ABS",NA,0.4354708365,NA,2397.5078021,NA,1198.753901,"(12) Baltimore-Columbia-Towson, Maryland",3,2,2,1,1,2,2,4,NA,1,1,1,NA,1,1,NA,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,3,3,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,3,1,1,0,0,0,0,0,1,97.8,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,6,2,2,2,6,4,1,3,5,3,2,1,5,2,1,3,1,NA,0,3,0,0,0,0,1,0,8
"12","0020018917","ABS",NA,0.2931993818,NA,622.65204863,NA,311.32602431,"(7) Montana",3,4,4,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,NA,70,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,5,2,NA,1,5,4,6,4,8,2,2,1,7,NA,4,2,4,40,70,9,2,0,2,1,3,0,5
"13","0020019088","ABS",NA,0.5946926582,NA,3274.1119915,NA,1637.0559958,"(12) Baltimore-Columbia-Towson, Maryland",3,4,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,1,2,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,2,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,NA,40,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.4,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,3,4,2,1,1,5,4,4,3,5,2,2,1,5,1,3,2,3,50,40,7,0,0,1,1,2,-1,9
"14","0020019804","ABS",NA,0.6834887821,NA,7226.5955768,NA,3613.2977884,"(5) Minnesota",3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,2,NA,1,1,2,2,1,NA,1,2,2,2,1,2,1,1,1,NA,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,40,1,1,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,1,1,1,7,4,2,2,4,3,2,1,5,1,4,2,2,15,40,8,0,0,0,0,2,0,8
"15","0020019877","ABS",NA,3.6936245692,NA,186014.3737,NA,93007.186851,"(10) Texas",1,2,2,1,1,NA,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,3,5,0,5,5,4,1,4,4,1,1,4,4,4,4,4,4,2,2,0,0,0,1,0,0,0,2,NA,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,4,3,7,3,2,1,6,2,1,2,5,NA,0,2,0,0,0,0,4,0,8
"16","0020021483","ABS",NA,0.701039024,NA,31896.541168,NA,15948.270584,"(1) California",2,5,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,5,5,5,3,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,40,1,1,4,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,6,4,4,4,9,3,2,1,5,4,4,2,3,40,40,9,1,1,0,0,2,0,5
"17","0020022438","ABS",NA,0.2118336422,NA,7442.4437557,NA,3721.2218779,"(3) Florida",4,2,3,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,5,4,3,3,2,2,2,1,1,NA,2,2,2,1,2,1,2,1,2,1,NA,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.6,1,2,2,2,2,2,2,1,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,4,5,2,1,1,6,4,1,3,5,3,2,1,5,1,2,2,1,NA,0,5,0,0,0,0,1,1,7
"18","0020034719","ABS",NA,0.3175291076,NA,674.31980282,NA,337.15990141,"(7) Montana",2,3,4,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,NA,28,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,5,2,NA,1,6,4,2,4,8,1,2,1,7,NA,3,2,2,NA,28,6,0,0,0,0,2,1,8
"19","0020036338","ABS",NA,0.2359601631,NA,2458.4827384,NA,1229.2413692,"(4) Louisiana",1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,2,1,4,3,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,25,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.7,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,5,2,1,1,5,4,2,3,7,3,2,1,6,1,4,2,2,25,25,9,0,0,0,0,2,0,6
"20","0020038074","ABS",NA,0.3161391038,NA,3293.8718105,NA,1646.9359052,"(4) Louisiana",4,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,2,4,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,50,1,1,1,2,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,3,2,2,2,5,4,5,3,7,3,2,1,6,2,2,2,4,10,50,6,0,0,3,0,2,2,5
"21","0020039536","ABS",NA,0.1357883656,NA,4661.2273969,NA,2330.6136985,"(8) New York",3,3,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,2,3,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,3,5,2,1,1,5,4,2,1,2,3,2,1,6,1,2,2,2,NA,0,5,0,0,0,0,2,0,7
"22","0020040106","ABS",NA,0.599756295,NA,3301.990113,NA,1650.9950565,"(12) Baltimore-Columbia-Towson, Maryland",2,5,5,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,5,1,5,1,1,2,1,2,1,1,1,NA,NA,1,1,2,NA,2,2,1,2,NA,2,NA,0,0,1,0,0,0,0,0,0,0,0,1,NA,45,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.7,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,1,1,1,6,4,2,3,5,3,2,1,5,1,4,2,2,45,45,8,0,0,0,0,2,0,8
"23","0020040159","ABS",NA,0.3282108173,NA,1580.5612049,NA,790.28060247,"(18) Pittsburgh, Pennsylvania",2,3,3,2,3,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,4,NA,NA,0,0,0,1,0,0,0,1,98.1,2,2,NA,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,3,5,2,1,1,7,4,1,1,2,3,1,1,5,1,1,2,1,NA,0,2,0,0,0,0,1,0,8
"24","0020040628","ABS",NA,0.4396305587,NA,4776.061231,NA,2388.0306155,"(11) Atlanta-Sandy Springs-Alpharetta, Georgia",2,5,5,2,2,2,2,2,2,2,NA,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,5,5,3,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,3,3,40,4,3,2,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,0,0,0,2,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,4,2,3,5,3,2,1,5,4,3,2,2,NA,40,7,0,0,0,0,2,0,8
"25","0020041652","ABS",NA,2.9564184268,NA,32117.957117,NA,16058.978558,"(11) Atlanta-Sandy Springs-Alpharetta, Georgia",2,3,3,1,1,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,5,5,5,5,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,1,NA,40,1,1,4,4,4,4,4,4,4,4,4,4,4,2,2,3,0,0,0,1,0,0,0,1,98.2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,5,2,2,1,5,2,1,2,3,40,40,3,0,0,1,0,2,0,5
"26","0020041677","ABS",NA,0.338018641,NA,717.83234317,NA,358.91617159,"(7) Montana",2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,5,5,5,4,4,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,1,NA,1,5,4,2,4,8,3,2,1,7,NA,3,3,2,NA,0,6,0,0,0,0,2,0,5
"27","0020043419","ABS",NA,0.2449214407,NA,2784.791937,NA,1392.3959685,"(6) Missouri",2,3,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,3,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,3,2,40,5,4,4,4,4,1,4,1,4,4,4,4,4,4,2,2,0,0,0,1,0,0,0,1,97.7,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,4,6,2,1,1,6,4,1,2,4,1,2,1,5,1,3,3,1,NA,40,7,0,0,0,0,1,0,8
"28","0020043759","ABS",NA,0.9152530084,NA,4407.5737952,NA,2203.7868976,"(18) Pittsburgh, Pennsylvania",3,5,3,1,2,2,2,3,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1,NA,45,1,1,4,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,99.5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,3,2,5,4,1,1,2,3,2,1,5,3,2,2,1,35,45,4,0,0,0,0,1,-2,6
